x,y
242.3,399.3 
242.4,399.3
242.5,399.3
242.5,399.4
242.6,399.4
242.7,399.4
242.8,399.4
242.8,399.5
242.9,399.5
243,399.5
243.1,399.5
243.2,399.5
243.3,399.5
243.3,399.6
243.2,399.6
243.3,399.7
243.3,399.6
243.4,399.5
243.5,399.5
243.5,399.6
243.5,399.7
243.6,399.7
243.6,399.8
243.5,399.8
243.5,399.9
243.4,399.9
243.3,400
243.3,400.1
243.2,400.2
243.3,400.3
243.2,400.3
243.1,400.3
243.1,400.4
243,400.5
243,400.6
242.9,400.6
242.9,400.7
242.9,400.8
242.8,400.8
242.8,400.9
242.7,400.9
242.7,401
242.6,401
242.6,401.1
242.5,401.1
242.4,401.2
242.4,401.3
242.5,401.3
242.5,401.4
242.4,401.5
242.4,401.6
242.4,401.7
242.4,401.8
242.4,401.9
242.4,402
242.4,402.1
242.4,402.2
242.5,402.3
242.5,402.4
242.5,402.5
242.5,402.6
242.6,402.7
242.6,402.8
242.6,402.9
242.7,402.9
242.7,403
242.8,403
242.8,403.1
242.8,403.2
242.8,403.3
242.9,403.3
243,403.3
243.1,403.3
243.2,403.3
243.3,403.3
243.4,403.3
243.5,403.3
243.6,403.3
243.7,403.3
243.7,403.4
243.8,403.4
243.8,403.5
243.8,403.6
243.7,403.7
243.6,403.7
243.5,403.8
243.4,403.9
243.4,404
243.4,404.1
243.4,404.2
243.4,404.3
243.4,404.4
243.3,404.4
243.3,404.5
243.3,404.6
243.3,404.7
243.4,404.7
243.4,404.8
243.4,404.9
243.5,404.9
243.5,405
243.4,405.1
243.4,405.2
243.4,405.3
243.4,405.4
243.5,405.5
243.5,405.6
243.6,405.6
243.7,405.6
243.8,405.7
243.9,405.7
244,405.7
244.1,405.7
244.2,405.6
244.3,405.6
244.4,405.6
244.5,405.6
244.6,405.6
244.7,405.7
244.8,405.7
244.8,405.8
244.9,405.8
245,405.8
245.1,405.9
245.2,405.9
245.3,405.9
245.3,406
245.4,406
245.4,406.1
245.5,406.2
245.6,406.3
245.7,406.3
245.7,406.4
245.6,406.5
245.7,406.6
245.7,406.7
245.8,406.7
245.8,406.8
245.8,406.9
245.8,407
245.9,407
245.9,407.1
245.9,407.2
245.9,407.3
245.9,407.4
246,407.5
246,407.6
246.1,407.7
246.2,407.7
246.2,407.8
246.3,407.8
246.3,407.9
246.4,407.9
246.4,408
246.4,408.1
246.3,408.2
246.4,408.2
246.4,408.3
246.4,408.4
246.5,408.4
246.5,408.5
246.5,408.6
246.5,408.7
246.6,408.7
246.6,408.8
246.7,408.8
246.7,408.9
246.8,408.9
246.9,409
246.9,409.1
247,409.2
247,409.3
247,409.4
247.1,409.4
247.1,409.5
247.2,409.5
247.2,409.6
247.3,409.7
247.3,409.8
247.4,409.8
247.5,409.9
247.5,410
247.5,410.1
247.6,410.2
247.6,410.3
247.7,410.4
247.7,410.5
247.8,410.6
247.9,410.7
248,410.7
248,410.8
248.1,410.9
248.1,411
248.1,411.1
248.1,411.2
248.1,411.3
248.1,411.4
248.1,411.5
248.1,411.6
248.1,411.7
248.2,411.7
248.1,411.7
248.1,411.8
248.1,411.9
248.1,412
248.2,412.1
248.3,412.1
248.4,412.2
248.4,412.3
248.4,412.4
248.4,412.5
248.4,412.6
248.5,412.6
248.5,412.7
248.5,412.8
248.5,412.9
248.6,412.9
248.6,413
248.7,413
248.7,413.1
248.6,413.2
248.6,413.1
248.5,413.1
248.5,413.2
248.5,413.3
248.5,413.4
248.5,413.5
248.5,413.6
248.4,413.6
248.4,413.7
248.3,413.8
248.3,413.9
248.2,413.9
248.3,413.9
248.3,414
248.3,414.1
248.4,414.1
248.4,414.2
248.5,414.2
248.5,414.3
248.5,414.4
248.5,414.5
248.6,414.6
248.6,414.7
248.7,414.8
248.7,414.9
248.8,414.9
248.8,415
248.9,415
248.9,415.1
249,415.1
249,415.2
249,415.3
249,415.4
249,415.5
249.1,415.6
249.1,415.7
249.1,415.8
249.2,415.8
249.2,415.9
249.3,415.9
249.4,415.9
249.5,415.9
249.6,415.9
249.6,416
249.7,416
249.8,416
249.9,416
250,416
250,416.1
250.1,416.1
250.2,416.1
250.3,416.1
250.4,416.2
250.5,416.2
250.6,416.2
250.7,416.2
250.8,416.3
250.9,416.3
251,416.3
251.1,416.3
251.1,416.4
251.2,416.4
251.3,416.4
251.4,416.4
251.5,416.4
251.5,416.5
251.6,416.5
251.6,416.6
251.7,416.6
251.7,416.7
251.7,416.8
251.8,416.8
251.8,416.9
251.8,417
251.9,417
251.9,417.1
251.9,417.2
252,417.3
252,417.4
252.1,417.5
252.1,417.6
252.2,417.7
252.2,417.8
252.2,417.9
252.3,417.9
252.3,418
252.3,418.1
252.4,418.1
252.4,418.2
252.4,418.3
252.5,418.3
252.5,418.4
252.6,418.5
252.7,418.5
252.8,418.5
252.9,418.5
253,418.5
253.1,418.5
253.1,418.6
253.2,418.6
253.3,418.6
253.4,418.6
253.5,418.6
253.6,418.6
253.7,418.7
253.8,418.7
253.9,418.7
254,418.7
254.1,418.7
254.1,418.8
254.2,418.8
254.3,418.8
254.4,418.8
254.5,418.8
254.6,418.8
254.7,418.9
254.8,418.9
254.9,418.9
255,418.9
255.1,418.9
255.2,418.9
255.2,419
255.3,419
255.4,419
255.4,419.1
255.4,419.2
255.5,419.2
255.6,419.2
255.7,419.3
255.8,419.3
255.8,419.4
255.9,419.5
256,419.6
256.1,419.6
256.1,419.7
256.2,419.8
256.3,419.9
256.4,420
256.5,420
256.5,420.1
256.6,420.1
256.6,420.2
256.7,420.2
256.7,420.3
256.8,420.4
256.9,420.4
256.9,420.5
257,420.5
257,420.6
257.1,420.7
257.2,420.8
257.4,420.9
257.6,421.2
258,421.6
258.1,421.6
258.4,422
258.5,422.1
258.6,422.2
258.6,422.1
258.7,421.9
258.7,422
258.8,422
258.8,422.1
258.8,422.2
258.9,422.2
258.9,422.3
258.9,422.4
258.8,422.5
258.8,422.7
258.8,423.1
258.8,423.2
258.8,423.4
258.9,423.6
258.9,423.7
258.9,424.2
258.9,424.5
259,425.2
259,425.6
259,425.7
259.1,425.7
259.1,425.8
259.1,425.9
259.1,426
259.1,426.1
259.2,426.1
259.2,426.2
259.2,426.3
259.4,426.6
259.4,426.7
259.5,426.7
259.6,427
259.9,427.4
260,427.4
260.2,427.8
260.3,427.8
260.3,427.9
260.5,428.2
260.6,428.3
260.8,428.5
260.9,428.6
261,428.8
261.2,429.1
261.6,429.6
261.7,429.8
261.7,429.9
261.8,429.9
261.8,430
261.9,430
261.9,430.1
262.1,430.3
262.1,430.4
262.2,430.4
262.2,430.5
262.4,430.8
262.5,430.9
262.6,431
262.7,431.2
262.8,431.4
262.9,431.4
263.4,432.1
263.6,432.4
263.8,432.6
264.2,433.2
264.3,433.4
264.5,433.7
264.5,433.8
264.4,433.8
264.5,433.8
264.4,433.9
264.2,434.4
264.2,434.5
264.1,434.7
264,434.8
263.8,435.4
263.7,435.7
263.6,435.9
263.5,436
263.5,436.1
263.5,436.2
263.5,436.3
263.5,436.4
263.5,436.5
263.5,436.6
263.5,436.7
263.5,436.8
263.5,436.9
263.5,437
263.5,437.7
263.5,437.8
263.5,437.9
263.6,438.1
263.6,438.7
263.7,438.9
263.7,439.4
263.7,439.6
263.8,440.2
263.8,440.3
263.8,440.4
263.8,440.6
263.9,441.2
264,442.1
264,442.7
264,442.8
264,442.9
264,443
264,443.1
264,443.2
263.9,443.6
263.8,443.9
263.8,444.1
263.7,444.5
263.7,444.7
263.6,445.2
263.4,446
263.4,446.1
263.3,446.4
263.3,446.7
263.2,446.8
263.2,447.2
263.1,447.4
263.1,447.6
263.1,447.7
263,447.8
263,447.9
262.9,448.5
262.8,449.2
262.8,449.4
262.7,449.9
262.7,450
262.8,450.1
262.9,450.1
262.9,450.2
262.9,450.3
262.9,450.4
263,450.5
263,450.6
263.1,450.7
263.1,450.8
263.2,450.8
263.2,450.9
263.2,451
263.3,451
263.3,451.1
263.4,451.2
263.5,451.3
263.5,451.4
263.6,451.5
263.7,451.7
263.8,451.9
263.8,452
264.1,452.3
264.1,452.4
264.2,452.6
264.3,452.7
264.3,452.8
264.4,452.8
264.7,453.4
264.9,453.7
265.2,454.3
265.3,454.3
265.4,454.6
265.5,454.6
265.6,454.9
265.7,455
265.8,455.3
265.9,455.3
265.9,455.4
266,455.5
266.1,455.5
266.1,455.6
266.2,455.6
266.3,455.6
266.4,455.6
266.5,455.6
266.6,455.7
266.6,455.8
266.7,455.8
266.7,455.9
266.7,456
266.7,456.1
266.7,456.2
266.7,456.3
266.7,456.4
266.8,456.4
266.9,456.4
266.9,456.5
267,456.5
267,456.6
267.1,456.6
267.1,456.7
267.2,456.7
267.2,456.8
267.3,456.9
267.3,457
267.4,457
267.4,457.1
267.4,457.2
267.5,457.2
267.6,457.3
267.6,457.4
267.7,457.5
267.8,457.5
267.8,457.6
267.9,457.6
267.9,457.7
267.9,457.8
267.9,457.9
267.9,458
268,458
267.9,458.1
267.9,458.2
267.9,458.3
267.8,458.4
267.7,458.4
267.7,458.5
267.7,458.6
267.7,458.7
267.7,458.8
267.6,458.8
267.6,458.9
267.5,458.9
267.5,459
267.4,459
267.4,458.9
267.3,458.9
267.2,458.9
267.2,459
267.2,459.1
267.2,459.3
267.2,459.4
267.2,459.5
267.1,459.5
267.1,459.6
267,459.7
267,459.8
266.9,459.8
266.9,459.9
266.8,460
266.8,460.1
266.7,460.1
266.7,460.2
266.6,460.3
266.5,460.4
266.5,460.5
266.5,460.6
266.6,460.6
266.6,460.7
266.7,460.8
266.6,460.8
266.6,460.9
266.6,461
266.6,461.1
266.6,461.2
266.6,461.3
266.6,461.4
266.5,461.4
266.4,461.4
266.3,461.5
266.2,461.6
266.1,461.6
266.1,461.7
266.2,461.7
266.1,461.7
266.1,461.8
266,461.8
266,461.9
266.1,461.9
266,462
266,462.1
265.9,462.1
265.9,462.2
265.9,462.3
265.8,462.4
265.8,462.5
265.8,462.6
265.8,462.7
265.8,462.8
265.8,462.9
265.8,463
265.7,463
265.7,463.1
265.6,463.2
265.6,463.3
265.6,463.4
265.7,463.4
265.7,463.5
265.7,463.6
265.6,463.7
265.7,463.8
265.7,463.9
265.6,463.9
265.5,464
265.5,464.1
265.4,464.1
265.3,464.2
265.3,464.3
265.2,464.3
265.2,464.4
265.2,464.5
265.2,464.6
265.1,464.7
265.1,464.8
265.1,464.9
265.1,465
265.1,465.1
265,465.1
264.9,465.1
264.9,465.2
264.9,465.3
264.8,465.3
264.8,465.4
264.8,465.5
264.8,465.6
264.8,465.7
264.8,465.8
264.8,465.9
264.8,466
264.9,466
264.9,466.1
264.9,466.2
264.9,466.3
264.9,466.4
264.9,466.5
264.8,466.5
264.7,466.5
264.7,466.6
264.7,466.7
264.8,466.7
264.8,466.8
264.8,466.9
264.7,466.9
264.7,467
264.7,467.1
264.7,467.2
264.7,467.3
264.7,467.4
264.7,467.5
264.8,467.5
264.8,467.6
264.9,467.7
264.9,467.8
264.9,467.9
264.9,468
264.9,468.1
264.9,468.2
264.9,468.3
264.9,468.4
264.9,468.5
265,468.5
265,468.6
265.1,468.7
265.1,468.8
265.2,468.9
265.2,469
265.2,469.1
265.3,469.1
265.3,469.2
265.3,469.3
265.3,469.4
265.3,469.5
265.3,469.6
265.3,469.7
265.3,469.9
265.3,470
265.3,470.1
265.3,470.2
265.3,470.3
265.3,470.4
265.3,470.5
265.2,470.6
265.2,470.7
265.1,470.7
265.1,470.8
265.2,470.9
265.2,471
265.2,471.1
265.2,471.2
265.2,471.3
265.2,471.4
265.2,471.5
265.3,471.5
265.3,471.4
265.4,471.4
265.5,471.4
265.5,471.5
265.5,471.6
265.5,471.7
265.4,471.7
265.4,471.8
265.3,471.8
265.3,471.9
265.2,472
265.1,472
265.1,472.1
265,472.1
264.9,472.1
264.8,472.1
264.7,472.1
264.7,472.2
264.6,472.2
264.6,472.3
264.5,472.3
264.5,472.4
264.4,472.4
264.4,472.5
264.3,472.6
264.4,472.7
264.3,472.8
264.3,472.9
264.3,473
264.3,473.1
264.4,473.1
264.3,473.2
264.3,473.3
264.2,473.3
264.2,473.4
264.1,473.5
264.1,473.6
264,473.6
264,473.7
263.9,473.7
263.9,473.8
263.8,473.8
263.8,473.9
263.8,474
263.7,474
263.6,474.1
263.5,474.1
263.5,474.2
263.4,474.3
263.3,474.4
263.3,474.5
263.2,474.5
263.1,474.5
263,474.5
262.9,474.5
262.8,474.5
262.7,474.5
262.7,474.4
262.6,474.4
262.5,474.4
262.4,474.4
262.4,474.5
262.3,474.5
262.2,474.5
262.1,474.5
262.1,474.6
262,474.6
262,474.7
262,474.8
262,474.9
261.9,474.9
261.9,475
261.8,475
261.8,475.1
261.7,475.1
261.7,475.2
261.6,475.2
261.5,475.2
261.4,475.2
261.3,475.2
261.3,475.3
261.3,475.4
261.3,475.5
261.2,475.5
261.2,475.6
261.2,475.7
261.2,475.8
261.2,475.9
261.1,475.9
261,475.9
260.9,475.9
260.9,475.8
260.8,475.8
260.8,475.9
260.7,475.9
260.6,475.9
260.5,475.9
260.5,476
260.4,476
260.3,476
260.3,475.9
260.3,475.8
260.3,475.7
260.3,475.6
260.2,475.6
260.2,475.5
260.1,475.5
260.1,475.4
260,475.4
259.9,475.4
259.8,475.4
259.7,475.4
259.6,475.4
259.5,475.4
259.4,475.4
259.4,475.3
259.3,475.3
259.2,475.3
259.2,475.2
259.1,475.2
259,475.2
258.9,475.1
258.8,475.1
258.8,475
258.7,474.9
258.6,474.9
258.6,474.8
258.5,474.7
258.5,474.6
258.5,474.5
258.4,474.5
258.4,474.4
258.3,474.4
258.2,474.3
258.1,474.3
258,474.3
257.9,474.2
257.8,474.2
257.7,474.1
257.6,474
257.5,474
257.5,473.9
257.4,474
257.3,474
257.2,474
257.1,474
257.1,474.1
257,474.1
257,474.2
256.9,474.2
256.8,474.3
256.7,474.3
256.7,474.4
256.6,474.4
256.5,474.4
256.4,474.4
256.3,474.4
256.2,474.5
256.2,474.6
256.1,474.6
256.1,474.7
256,474.7
256,474.8
256,474.9
256,475
256,475.1
256,475.2
256,475.3
256,475.4
256,475.5
255.9,475.5
255.9,475.6
255.8,475.6
255.8,475.7
255.7,475.7
255.7,475.8
255.6,475.9
255.6,476
255.5,476
255.5,476.1
255.4,476.1
255.3,476.2
255.2,476.2
255.1,476.2
255.1,476.3
255,476.3
254.9,476.4
254.9,476.5
254.9,476.6
254.8,476.6
254.8,476.7
254.7,476.7
254.5,476.7
254.5,476.8
254.5,476.9
254.5,477
254.4,477
254.4,477.1
254.3,477.1
254.2,477.2
254.1,477.2
254,477.2
253.9,477.2
253.8,477.2
253.7,477.2
253.6,477.1
253.5,477.1
253.4,477.1
253.4,477
253.3,477
253.3,476.9
253.2,476.9
253.2,476.8
253.2,476.7
253.1,476.7
253,476.7
252.9,476.7
252.8,476.7
252.7,476.6
252.7,476.7
252.6,476.7
252.5,476.7
252.5,476.6
252.4,476.6
252.4,476.5
252.3,476.5
252.2,476.5
252.1,476.5
252,476.5
251.9,476.5
251.9,476.6
251.8,476.6
251.7,476.6
251.6,476.6
251.5,476.6
251.5,476.5
251.4,476.5
251.3,476.4
251.2,476.5
251.1,476.5
251,476.6
250.9,476.6
250.8,476.7
250.7,476.7
250.7,476.6
250.6,476.6
250.6,476.7
250.5,476.7
250.4,476.7
250.4,476.8
250.3,476.8
250.3,476.9
250.2,476.9
250.2,477
250.1,477.1
250,477.2
250,477.3
249.9,477.3
249.8,477.3
249.8,477.4
249.7,477.4
249.6,477.4
249.6,477.5
249.5,477.5
249.4,477.5
